SKU,Descripcion,Material,Precio_EUR,Alto,Diametro,Capacidad,foto
H.PIA.PAT7,Patagonia small plate blue,Melamina,"10,12",,23 cm,,patagonia-blu-frutta-2184.jpg
H.PIA.PAT10,Patagonia small plate yellow,Melamina,"10,12",,23 cm,,patagonia-giallo-frutta-2189.jpg
H.PIA.PAT8,Patagonia small plate green,Melamina,"10,12",,23 cm,,patagonia-verde-frutta-2194.jpg
H.PIA.PAT12,Patagonia medium plate blue,Melamina,"12,65",,27 cm,,patagonia-blu-medio-2185.jpg
H.PIA.PAT15,Patagonia medium plate yellow,Melamina,"12,65",,27 cm,,patagonia-giallo-medio-2188.jpg
H.PIA.PAT25,Patagonia underplate yellow,Melamina,"21,78",,,,patagonia-giallo-sottopiatto-2634.jpg
H.PIA.VIE13,Saint Tropez soup plate orange,Melamina,"10,12",,19 cm,,saint-tropez-arancio-ciotola-1551.jpg
H.PIA.VIE18,Saint Tropez soup plate blue,Melamina,"10,12",,19 cm,,saint-tropez-blu-ciotola-1539.jpg
H.PIA.VIE14,Saint Tropez soup plate yellow,Melamina,"10,12",,19 cm,,saint-tropez-giallo-ciotola-1542.jpg
H.PIA.VIE17,Saint Tropez soup plate turquoise,Melamina,"10,12",,19 cm,,saint-tropez-turchese-ciotola-1535.jpg
H.PIA.VIE15,Saint Tropez soup plate green,Melamina,"10,12",,19 cm,,saint-tropez-verde-ciotola-1545.jpg
H.PIA.VIE1,Saint Tropez small plate orange,Melamina,"10,12",,23 cm,,saint-tropez-arancio-frutta-1552.jpg
H.PIA.VIE6,Saint Tropez small plate blue,Melamina,"10,12",,23 cm,,saint-tropez-blu-frutta-1540.jpg
H.PIA.VIE2,Saint Tropez small plate yellow,Melamina,"10,12",,23 cm,,saint-tropez-giallo-frutta-1543.jpg
H.PIA.VIE5,Saint Tropez small plate turquoise,Melamina,"10,12",,23 cm,,saint-tropez-turchese-frutta-1536.jpg
H.PIA.VIE3,Saint Tropez small plate green,Melamina,"10,12",,23 cm,,saint-tropez-verde-frutta-1546.jpg
H.PIA.VIE7,Saint Tropez medium plate orange,Melamina,"12,65",,27 cm,,saint-tropez-arancio-medio-1553.jpg
H.PIA.VIE12,Saint Tropez medium plate blue,Melamina,"12,65",,27 cm,,saint-tropez-blu-medio-1541.jpg
H.PIA.VIE8,Saint Tropez medium plate yellow,Melamina,"12,65",,27 cm,,saint-tropez-giallo-medio-1544.jpg
H.PIA.VIE11,Saint Tropez medium plate turquoise,Melamina,"12,65",,27 cm,,saint-tropez-turchese-medio-1537.jpg
H.PIA.VIE9,Saint Tropez medium plate green,Melamina,"12,65",,27 cm,,saint-tropez-verde-medio-1547.jpg
H.SAL.BEC1,Bonnie & Clyde salt and pepper set green,Acrílico,"18,15",8 cm,"5,5 cm",,bonnie-e-clyde-verde-1821.jpg
H.SAL.BEC2,Bonnie & Clyde salt and pepper set clear,Acrílico,"18,15",8 cm,"5,5 cm",,bonnie-e-clyde-trasparente-1910.jpg
H.SAL.BEC3,Bonnie & Clyde salt and pepper set blue,Acrílico,"18,15",8 cm,"5,5 cm",,bonnie-e-clyde-blu-1820.jpg
H.SAL.BEC5,Bonnie & Clyde salt and pepper set red,Acrílico,"18,15",8 cm,"5,5 cm",,bonnie-e-clyde-rubino-1911.jpg
H.SAL.BEC6,Bonnie & Clyde salt and pepper set gold,Acrílico,"18,15",8 cm,"5,5 cm",,bonnie-e-clyde-oro-2269.jpg
H.SAL.CEV1,Caterina & Vittoria salt and pepper set clear,Acrílico,"22,00","10,6 cm","5,6 cm",,caterinaevittoria-trasparente-2403.jpg
H.SAL.CEV2,Caterina & Vittoria salt and pepper set ruby,Acrílico,"22,00","10,6 cm","5,6 cm",,caterinaevittoria-rubino-2404.jpg
H.SAL.CEV3,Caterina & Vittoria salt and pepper set blue,Acrílico,"22,00","10,6 cm","5,6 cm",,caterinaevittoria-blu-2402.jpg
H.SAL.CEV4,Caterina & Vittoria salt and pepper set green,Acrílico,"22,00","10,6 cm","5,6 cm",,caterinaevittoria-verde-2401.jpg
H.BIK.DLV31,Dolce Vita water glass grey,Acrílico,"10,29","17,5 cm","9,5 cm",,dolce-vita-acqua-grigio-1611.jpg
H.INS.CHU13,Elena small bowl white,Acrílico,"11,00",7 cm,14 cm,,churchill-piccola-bianco-2271.jpg
H.PIA.MAR5,Marinella soup plate Red,Melamina,"10,12",,19 cm,,marinellarosso-fondo-2530.jpg
